author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,tweet
65495669,2023-05-04 23:57:15+00:00, ,1.65427E+18,en,2,0,0,0,"@firern439 @NatalkaKyiv That is why he is blaming it on the conventional military. If Wagner pulls out of Ukraine, he will promise his employees cushy jobs smuggling metals and gems out of Africa."
65495669,2023-05-04 23:40:04+00:00, ,1.65427E+18,en,4,0,2,1,"@NatalkaKyiv I don't think he is preparing for defeat per se. He is making sure that Wagner continues to have people sign up. In order for Wagner to continue in Africa and other areas, he must maintain a certain level of confidence among the Russian population."
1.50648E+18,2023-05-04 23:28:38+00:00, ,1.65427E+18,en,4,0,1,0,"@ReDDrDz @wartranslated He doesn't give a shit about them, they are his source of power. Without manpower, Wagner is nothing. He is angry, because he is scared. From 60,000 men to 4,000, and dwindling? His bet bet is to flee to Africa if he can figure out a way to get there."
1.62287E+18,2023-05-04 23:26:59+00:00, ,1.65427E+18,en,0,0,0,0,@EmbassyofRussia Wagner and Africa? Anyone like to comment on that??? https://t.co/xgjQ722xOq
1239686612,2023-05-04 23:25:34+00:00, ,1.65427E+18,en,0,0,0,1,RT @ptonpc: @obageegee @wartranslated He wants to go to Africa where  Wagner basically owns countries now and it can commit crimes against…
137436173,2023-05-04 23:24:44+00:00, ,1.65427E+18,en,0,0,0,0,"@parrot_soldier If the reports of Wagner shortages in everything are true, they can't hold ground anymore. What little is left will retreat or surrender, as will he. Prigozhin will end up losing Wagner &amp; it's Africa ops &amp; all his money, no matter what, &amp; will likely end up in prison or dead."
299449112,2023-05-04 23:23:20+00:00, ,1.65427E+18,es,0,0,0,25,"RT @Ramon_Live_22: Si wagner son nazis, que hacen en África? Y porque los países africanos prefieren a wagner que a los demócratas que tan…"
539826374,2023-05-04 23:22:13+00:00, ,1.65427E+18,en,2,0,0,1,@obageegee @wartranslated He wants to go to Africa where  Wagner basically owns countries now and it can commit crimes against humanity in peace.
1.36709E+18,2023-05-04 23:12:36+00:00, ,1.65426E+18,en,15,0,0,2,Imagine showing this when you have a whole issue of recruiting more Russians to join Wagner in Sahel &amp; Africa (where also many of them get massacred but Wagner hides it for PR purposes) https://t.co/dqPsPG264M
2360832798,2023-05-04 23:12:32+00:00, ,1.65426E+18,es,0,0,0,34,"RT @Political_Room: 🇷🇺🇺🇸El Grupo Wagner tiene cada vez más presencia e influencia en África, algo que EEUU trata de contrarestar.

En este…"
